atlas,co-occurrence_status,sampling_period,years,N,V6,V7,V8,V9
Czechia,segregated,first,1985-1989,4522,0.294,0.332,0.178,0.012
Czechia,neutral,first,1985-1989,3121,0.203,0.11,0.144,-0.007
Czechia,aggregated,first,1985-1989,7715,0.502,0.559,0.185,-0.005
Czechia,segregated,last,2014-2017,4701,0.306,0.328,0.196,0.012
Czechia,neutral,last,2014-2017,3015,0.196,0.111,0.14,-0.007
Czechia,aggregated,last,2014-2017,7642,0.498,0.561,0.2,-0.005
Europe,segregated,first,1972-1995,27943,0.41,0.332,0.178,-0.001
Europe,neutral,first,1972-1995,4042,0.059,0.11,0.144,-0.003
Europe,aggregated,first,1972-1995,36196,0.531,0.559,0.185,0.004
Europe,segregated,last,2013-2017,27847,0.408,0.328,0.196,-0.001
Europe,neutral,last,2013-2017,3868,0.057,0.111,0.14,-0.003
Europe,aggregated,last,2013-2017,36466,0.535,0.561,0.2,0.004
New York,segregated,first,1980-1985,6975,0.391,0.332,0.178,-0.004
New York,neutral,first,1980-1985,1718,0.096,0.11,0.144,0.004
New York,aggregated,first,1980-1985,9164,0.513,0.559,0.185,0.001
New York,segregated,last,2000-2005,6896,0.386,0.328,0.196,-0.004
New York,neutral,last,2000-2005,1787,0.1,0.111,0.14,0.004
New York,aggregated,last,2000-2005,9174,0.514,0.561,0.2,0.001
New Zealand,segregated,first,1969-1979,2408,0.231,0.332,0.178,-0.019
New Zealand,neutral,first,1969-1979,843,0.081,0.11,0.144,0.009
New Zealand,aggregated,first,1969-1979,7156,0.688,0.559,0.185,0.01
New Zealand,segregated,last,1999-2004,2213,0.213,0.328,0.196,-0.019
New Zealand,neutral,last,1999-2004,934,0.09,0.111,0.14,0.009
New Zealand,aggregated,last,1999-2004,7260,0.698,0.561,0.2,0.01
